cod_grupo;grupo;cod_proceso;proceso;cod_articulo;articulo;peso;cod_estandar;nombre_estandar;t_estandar
2;MANTENIMIENTO;6;MARCAR / PINTAR;306;ANDAMIO COLGANTE DE 60 M (2 GRILLETES);52;206306;MARCAR / PINTAR_306;6
2;MANTENIMIENTO;7;SOLDADURA;306;ANDAMIO COLGANTE DE 60 M (2 GRILLETES);52;207306;SOLDADURA_306;10
2;MANTENIMIENTO;2;ENDEREZAR;1632;ANDAMIO COLGANTE DE 60 M CON ABRAZADERA (2 GRILLETES);52;2021632;ENDEREZAR_1632;10
2;MANTENIMIENTO;3;ENSAMBLAR;1632;ANDAMIO COLGANTE DE 60 M CON ABRAZADERA (2 GRILLETES);52;2031632;ENSAMBLAR_1632;6
2;MANTENIMIENTO;4;LIMPIAR;1632;ANDAMIO COLGANTE DE 60 M CON ABRAZADERA (2 GRILLETES);52;2041632;LIMPIAR_1632;20
2;MANTENIMIENTO;5;LUBRICAR / ENGRASAR;1632;ANDAMIO COLGANTE DE 60 M CON ABRAZADERA (2 GRILLETES);52;2051632;LUBRICAR / ENGRASAR_1632;3
2;MANTENIMIENTO;1;MANTENIMIENTO;1632;ANDAMIO COLGANTE DE 60 M CON ABRAZADERA (2 GRILLETES);52;2011632;MANTENIMIENTO_1632;55
2;MANTENIMIENTO;6;MARCAR / PINTAR;1632;ANDAMIO COLGANTE DE 60 M CON ABRAZADERA (2 GRILLETES);52;2061632;MARCAR / PINTAR_1632;6
2;MANTENIMIENTO;7;SOLDADURA;1632;ANDAMIO COLGANTE DE 60 M CON ABRAZADERA (2 GRILLETES);52;2071632;SOLDADURA_1632;10
2;MANTENIMIENTO;2;ENDEREZAR;310;ANDAMIO COLGANTE DE 70 M (2 GRILLETES);53;202310;ENDEREZAR_310;10
2;MANTENIMIENTO;3;ENSAMBLAR;310;ANDAMIO COLGANTE DE 70 M (2 GRILLETES);53;203310;ENSAMBLAR_310;6
2;MANTENIMIENTO;4;LIMPIAR;310;ANDAMIO COLGANTE DE 70 M (2 GRILLETES);53;204310;LIMPIAR_310;20
